用户ID,年龄,性别,历史订单数量,购买频率,平均消费金额,优惠券使用,配送距离,是否购买,购买金额,购买等级
23923,37,女,13,10,42.66,1,3.21,1,413.28,中
23924,29,女,18,7,49.61,1,2.94,0,0,未购买
23925,35,女,30,7,43.15,0,6.8,0,0,未购买
23926,30,男,15,11,44.68,1,1.7,1,434.03,中
23927,26,女,17,6,64.36,1,1.18,1,489.16,高
23928,24,男,16,4,59.11,0,2.73,0,0,未购买
23929,43,女,27,4,67.92,1,1.64,1,314.65,中
23930,34,男,14,7,42.89,0,2.76,0,0,未购买
23931,38,女,14,6,59.62,0,1.21,1,295.29,中
23932,37,男,12,1,56.98,1,3.53,0,0,未购买
23933,39,女,17,14,35.72,0,4.33,0,0,未购买
23934,32,男,14,5,49.14,0,3.01,1,256.84,低
23935,30,女,27,8,36.69,1,5.66,1,289.42,中
23936,27,男,13,9,23,0,2.08,0,0,未购买
23937,21,女,13,5,27.95,1,3.09,0,0,未购买
23938,24,男,25,13,48.05,0,2.5,1,676.65,高
23939,31,男,12,3,47.67,1,1.64,1,169.68,低
23940,19,男,15,7,55.47,0,8.09,0,0,未购买
23941,21,男,22,2,31.56,1,1.81,0,0,未购买
23942,45,男,12,7,44.71,0,2.67,1,333.19,中
23943,37,女,14,8,28.04,1,1.76,0,0,未购买
23944,30,男,13,11,53.26,0,2.31,0,0,未购买
23945,58,男,11,9,48.63,0,2.44,1,495.45,高
23946,19,女,20,7,39.58,0,2.91,0,0,未购买
23947,45,女,16,7,43.86,0,1.37,1,309.18,中
23948,34,女,19,9,59.9,1,1.73,1,532.28,高
23949,43,女,23,3,49.37,1,2.79,0,0,未购买
23950,36,女,15,7,35.17,0,8.1,1,276.75,低
23951,18,女,19,7,32.37,1,2.13,0,0,未购买
23952,36,女,16,7,38.85,1,3.36,1,292.32,中
23953,38,男,19,10,40.85,0,4.79,1,352.79,中
23954,18,女,23,4,44.83,0,3.27,0,0,未购买
23955,54,男,24,8,34.75,1,3.5,0,0,未购买
23956,38,女,16,7,29.5,0,1.19,0,0,未购买
23957,42,男,21,5,40.81,0,1.8,0,0,未购买
23958,23,女,19,6,50.73,0,5.67,0,0,未购买
23959,42,女,22,9,58.99,0,2.02,1,589.06,高
23960,46,男,11,7,53.81,0,2.37,1,396.27,中
23961,38,女,25,5,65.27,0,1.63,0,0,未购买
23962,35,女,21,4,58.3,1,3.24,0,0,未购买
23963,26,女,16,10,43.45,0,1.87,0,0,未购买
23964,33,男,16,7,60.64,1,2.23,0,0,未购买
23965,30,女,15,6,37.1,1,2.29,0,0,未购买
23966,41,男,11,6,51.26,0,1.89,0,0,未购买
23967,27,女,22,9,47.51,0,3,1,503.96,高
23968,41,女,15,6,53.92,0,2.75,0,0,未购买
23969,27,男,25,6,43.44,1,3.76,0,0,未购买
23970,32,男,17,7,60.46,1,4.58,0,0,未购买
23971,41,男,22,6,60.56,1,3.49,0,0,未购买
23972,28,男,14,9,40.74,1,2.55,1,365.39,中
23973,42,男,21,11,69.53,0,3.13,0,0,未购买
23974,41,女,22,5,44.51,0,2.56,0,0,未购买
23975,32,男,20,10,58.51,1,10,0,0,未购买
23976,47,男,13,6,49.55,1,2.31,0,0,未购买
23977,36,男,13,9,65.02,0,6.36,0,0,未购买
23978,46,男,19,5,77.61,1,4.33,1,327.72,中
23979,53,男,18,4,34.53,0,3.33,0,0,未购买
23980,33,男,18,12,44.83,0,4.19,0,0,未购买
23981,41,男,19,8,34.67,0,6.36,0,0,未购买
23982,29,女,14,9,48.95,1,3.57,0,0,未购买
23983,25,男,14,4,35.16,1,,0,0,未购买
23984,33,女,24,5,50.18,1,3.17,0,0,未购买
23985,21,女,15,5,45.5,0,1.68,0,0,未购买
23986,26,女,15,4,48.95,0,3.18,0,0,未购买
23987,41,女,18,6,41.34,1,4.47,0,0,未购买
23988,30,男,20,13,42.47,1,2.3,1,514.12,高
23989,42,女,11,7,72.75,0,1.13,0,0,未购买
23990,38,男,16,9,41.54,1,4.64,1,350.21,中
23991,54,男,15,7,50.31,1,2.67,1,301.92,中
23992,40,女,13,4,70.96,0,10,0,0,未购买
23993,46,女,14,5,31.78,0,3.68,1,137.64,低
23994,39,女,13,6,35.39,0,1.96,0,0,未购买
23995,38,女,19,7,36.17,1,2.76,1,255.64,低
23996,47,男,21,5,42.19,0,10,0,0,未购买
23997,42,女,16,0,42.1,0,5.67,0,0,未购买
23998,37,男,17,3,62.03,0,2.68,0,0,未购买
23999,37,男,18,6,42.61,0,3.13,0,0,未购买
24000,40,男,27,12,66.87,0,1.6,0,0,未购买
24001,28,女,21,13,63.89,0,4.03,0,0,未购买
24002,28,女,14,8,44.48,1,6.12,0,0,未购买
24003,49,男,15,9,54.94,0,1.86,1,441.13,高
24004,54,女,22,5,63.45,1,6.21,1,330.3,中
24005,26,男,14,8,81.12,0,3.88,1,619.83,高
24006,28,男,19,8,61.53,1,2.47,0,0,未购买
24007,46,男,15,6,28.66,0,4.88,1,159.47,低
24008,40,女,22,7,61.71,1,1.68,0,0,未购买
24009,42,女,15,6,63.08,0,2.6,0,0,未购买
24010,44,男,22,5,74.5,1,1.6,1,349.82,中
24011,33,女,21,5,46.48,1,3.39,0,0,未购买
24012,38,男,23,6,42.96,0,8.14,0,0,未购买
24013,38,女,18,9,42.23,0,5,0,0,未购买
24014,26,男,19,7,65.69,1,2.52,0,0,未购买
24015,38,女,15,8,56.03,0,4.56,0,0,未购买
24016,47,女,21,8,24.73,0,2.63,1,170.61,低
24017,32,男,21,6,78.69,0,7.6,0,0,未购买
24018,37,女,22,6,59.46,1,3.18,0,0,未购买
24019,37,男,15,3,67.09,1,2.71,0,0,未购买
24020,32,男,25,8,60.24,1,3.04,1,441.32,高
24021,42,男,18,5,66.18,0,4.49,0,0,未购买
24022,,女,19,9,41.16,0,4.84,0,0,未购买
24023,48,男,21,6,52.42,1,3.64,0,0,未购买
24024,41,男,8,4,67.68,0,,0,0,未购买
24025,26,男,18,5,74.63,0,2.68,0,0,未购买
24026,52,男,20,7,66.31,1,2.81,1,415.08,中
24027,37,女,23,8,47.48,1,2.15,0,0,未购买
24028,28,男,23,3,19.48,1,2.52,0,0,未购买
24029,46,女,17,10,62.17,0,3.48,1,640.46,高
24030,40,男,25,10,48.52,0,1.96,0,0,未购买
24031,18,女,14,11,32.43,0,2.32,0,0,未购买
24032,30,男,17,7,46.08,0,3.6,0,0,未购买
24033,38,男,17,4,52.11,0,3.11,1,192.38,低
24034,18,男,11,6,57.47,0,2.24,0,0,未购买
24035,36,女,24,5,55.07,1,3.69,1,273.11,低
24036,,女,8,3,63.06,0,2.85,0,0,未购买
24037,23,男,21,6,44.45,1,2.9,1,279.61,低
24038,38,男,17,7,35.22,1,5.46,0,0,未购买
24039,35,女,16,5,70.58,1,3.4,0,0,未购买
24040,23,男,22,9,54.06,0,3.26,0,0,未购买
24041,44,女,16,5,68.19,0,1.73,0,0,未购买
24042,43,男,19,5,48.26,1,3.93,1,229.8,低
24043,32,女,19,6,48.86,1,1.94,1,267.71,低
24044,33,女,24,11,71.99,1,2.12,0,0,未购买
24045,42,女,17,9,45.08,1,2.26,0,0,未购买
24046,33,男,13,5,55.5,0,5,0,0,未购买
24047,18,男,17,7,21.45,1,2.71,0,0,未购买
24048,40,男,15,8,15,1,1.8,0,0,未购买
24049,27,女,18,8,61.9,1,3.08,0,0,未购买
24050,31,女,19,7,35.11,0,4.21,1,193.01,低
24051,50,女,26,4,51.11,,2.42,0,0,未购买
24052,34,男,15,8,78.81,0,1.03,0,0,未购买
24053,35,男,19,7,60.79,0,2.63,0,0,未购买
24054,40,女,22,6,54.08,1,4.95,1,325.71,中
24055,40,男,11,7,30.22,0,1.66,0,0,未购买
24056,26,男,14,8,43.65,1,2.08,0,0,未购买
24057,34,女,23,8,62.97,0,1.73,0,0,未购买
24058,35,男,14,6,42.68,0,8.84,0,0,未购买
24059,38,男,14,7,64.3,0,2.34,0,0,未购买
24060,38,女,20,8,52.78,0,2.37,1,372.37,中
24061,61,女,19,14,50,1,1.45,1,670.79,高
24062,23,男,16,6,60.88,1,5.16,0,0,未购买
24063,45,女,10,6,55.63,0,3.97,0,0,未购买
24064,47,女,14,8,30.28,0,1.78,0,0,未购买
24065,40,男,19,8,61.18,0,2.75,1,570.87,高
24066,28,女,19,6,60.16,1,3.47,0,0,未购买
24067,52,女,18,8,24.74,0,1.8,0,0,未购买
24068,18,男,23,6,46.16,0,1.81,0,0,未购买
24069,28,女,28,6,40.8,0,2.56,0,0,未购买
24070,47,女,19,5,39.15,0,1.79,0,0,未购买
24071,31,男,18,19,57.79,1,3.33,0,0,未购买
24072,51,男,13,2,31.47,0,8.15,0,0,未购买
24073,20,女,13,12,43.96,0,2.99,0,0,未购买
24074,24,女,16,5,68.35,1,1.66,0,0,未购买
24075,30,男,16,7,53.09,1,2.23,0,0,未购买
24076,39,男,16,8,58.36,0,2.64,0,0,未购买
24077,33,女,16,9,62.03,0,0.63,0,0,未购买
24078,30,女,13,11,24.73,0,3.99,0,0,未购买
24079,49,男,19,4,63.89,0,0.97,0,0,未购买
24080,50,男,14,5,69.97,0,6.44,0,0,未购买
24081,31,男,19,5,49.26,0,2.69,1,211.87,低
24082,18,男,17,7,38.06,0,2.93,1,267.77,低
24083,18,女,22,7,65.79,0,4.78,0,0,未购买
24084,37,女,19,11,42.46,1,1.97,1,561.29,高
24085,42,男,9,6,37.14,0,1.9,0,0,未购买
24086,36,男,14,3,45.62,0,2.41,1,145.89,低
24087,34,男,15,3,67.12,0,4.25,0,0,未购买
24088,27,男,16,8,46.11,0,1.98,1,319.18,中
24089,42,男,15,10,74.61,0,1.75,1,813.78,高
24090,52,女,19,5,51.95,1,4.7,0,0,未购买
24091,18,女,24,4,76.59,0,2.39,0,0,未购买
24092,34,女,17,4,43.87,0,4.32,0,0,未购买
24093,25,男,23,5,68.24,1,3.34,0,0,未购买
24094,20,女,16,12,35.24,0,1.45,0,0,未购买
24095,24,女,21,5,41.57,0,2.81,0,0,未购买
24096,39,女,20,4,55.22,0,0.98,0,0,未购买
24097,39,男,17,6,34.6,1,2.73,0,0,未购买
24098,50,男,15,9,44.68,1,3.66,0,0,未购买
24099,35,女,19,12,54.22,0,2.07,0,0,未购买
24100,18,女,12,7,35.9,1,8.03,0,0,未购买
24101,33,男,21,3,77.95,0,4.74,0,0,未购买
24102,21,女,18,10,58.92,1,5.04,0,0,未购买
24103,23,男,17,9,68.52,1,2.36,0,0,未购买
24104,41,女,18,8,26.82,0,0.86,0,0,未购买
24105,37,女,21,5,42.46,1,2.65,0,0,未购买
24106,41,男,23,11,71.57,0,2.37,1,785.69,高
24107,31,男,22,10,69.26,0,3.95,0,0,未购买
24108,43,女,14,8,49.43,0,1.81,1,399.13,中
24109,31,女,16,6,15,1,2.01,0,0,未购买
24110,46,女,17,6,28.83,1,3.02,1,177.52,低
24111,38,男,17,6,42.6,1,3.37,0,0,未购买
24112,33,女,13,5,66.35,0,4.07,0,0,未购买
24113,37,男,20,7,57.77,1,3.49,1,398.01,中
24114,35,男,16,8,41.92,0,1.16,1,333.08,中
24115,51,男,17,9,60.77,0,2.37,0,0,未购买
24116,37,女,16,6,51.45,0,1.29,0,0,未购买
24117,35,女,16,9,49.74,0,4.63,0,0,未购买
24118,33,男,19,7,52.18,0,1.29,1,391.8,中
24119,43,女,19,4,47.63,0,4.17,0,0,未购买
24120,42,女,19,4,31.41,1,1,0,0,未购买
24121,32,女,17,6,39.26,0,4.38,0,0,未购买
24122,23,男,22,6,54.12,1,3.44,0,0,未购买
24123,26,女,15,11,24.13,0,1.57,0,0,未购买
24124,33,男,12,7,52.71,0,2.72,0,0,未购买
24125,48,女,12,11,53.6,0,3.86,1,416.6,中
24126,32,男,16,9,45.08,1,2.56,0,0,未购买
24127,29,男,17,7,67.87,0,3.05,0,0,未购买
24128,18,女,21,13,45.34,1,2.08,1,660.85,高
24129,50,男,23,9,30.03,0,6.89,0,0,未购买
24130,41,男,24,6,59.77,1,2.35,1,349.54,中
24131,43,男,22,7,56.02,0,1.37,0,0,未购买
24132,45,女,26,6,47.11,0,5.27,0,0,未购买
24133,33,男,15,8,44.69,1,2.37,1,310,中
24134,36,女,8,8,41.74,1,4.56,0,0,未购买
24135,50,女,23,7,76.4,0,4.17,1,562.24,高
24136,37,男,20,7,39.71,1,1.43,1,278.27,低
24137,41,女,14,5,51.32,0,1.1,0,0,未购买
24138,44,男,17,8,56.11,0,3.32,0,0,未购买
24139,41,女,20,9,50.37,0,2.78,0,0,未购买
24140,34,男,15,5,45.69,1,3.33,1,238.98,低
24141,35,男,15,4,53.72,1,2.31,1,192.14,低
24142,43,男,11,9,32.91,1,1.71,1,246.37,低
24143,43,女,22,5,59.53,1,1.9,0,0,未购买
24144,47,女,28,5,56.65,0,4.52,0,0,未购买
24145,41,男,21,8,49.83,0,4.91,0,0,未购买
24146,41,女,21,4,51.03,1,2.15,0,0,未购买
24147,31,女,18,5,61.84,1,1.65,1,279.7,低
24148,29,女,14,5,59.87,1,0.97,0,0,未购买
24149,43,男,18,6,70.99,0,3.08,0,0,未购买
24150,29,男,19,4,57.49,0,4.24,1,278.97,低
24151,35,女,21,7,53.4,0,2.19,0,0,未购买
24152,49,男,18,3,34.56,1,3.13,1,101.31,低
24153,47,男,23,8,69.49,0,1.69,0,0,未购买
24154,38,女,21,7,44.06,0,5.64,0,0,未购买
24155,32,女,19,7,55.59,1,1.61,1,354.79,中
24156,34,女,18,5,48.95,1,2.24,0,0,未购买
24157,44,男,15,8,45.22,0,1.95,0,0,未购买
24158,35,女,17,4,43.93,0,3.3,0,0,未购买
24159,29,女,13,9,61.14,0,4.8,0,0,未购买
24160,47,男,23,6,36.68,0,5.01,0,0,未购买
24161,37,男,20,6,54.29,0,2.05,0,0,未购买
24162,29,男,22,3,15.03,1,8.74,0,0,未购买
24163,40,男,28,5,54.89,1,4.2,0,0,未购买
24164,45,女,18,9,50.91,0,4.98,0,0,未购买
24165,25,男,19,4,38.53,0,2.22,0,0,未购买
24166,33,女,22,8,33.16,0,1.43,0,0,未购买
24167,33,男,18,5,27.46,1,3.78,0,0,未购买
24168,40,女,13,11,65,1,1.77,1,717.01,高
24169,41,女,16,11,45.18,1,4.71,0,0,未购买
24170,29,男,16,6,71.1,0,3.19,0,0,未购买
24171,20,女,20,8,53.68,0,1.56,0,0,未购买
24172,45,女,26,9,44.01,1,10,0,0,未购买
24173,24,女,16,12,66.93,0,2.9,0,0,未购买
24174,38,女,18,5,54.11,0,2.49,0,0,未购买
24175,34,男,15,4,52.46,0,3.26,0,0,未购买
24176,37,女,19,7,61.16,0,0.85,0,0,未购买
24177,52,男,16,9,81.74,1,2.86,0,0,未购买
24178,65,男,22,9,48.5,1,4.07,1,415.92,中
24179,19,女,13,9,26.88,0,2.15,0,0,未购买
24180,45,女,14,4,63.33,1,1.48,1,320.13,中
24181,33,女,18,3,38.08,1,2.55,0,0,未购买
24182,45,男,17,7,28.85,0,4.01,0,0,未购买
24183,45,男,15,9,60.15,1,5.52,1,533.67,高
24184,49,女,20,8,52.85,0,2.92,1,443.87,高
24185,38,女,31,6,60.39,1,4.82,1,361.7,中
24186,26,男,13,6,53.27,0,4.02,0,0,未购买
24187,44,男,17,5,47.42,0,2.02,0,0,未购买
24188,36,男,20,5,47.48,1,2.18,0,0,未购买
24189,33,女,18,5,75.25,0,2.16,0,0,未购买
24190,30,女,21,10,18.56,0,4.04,1,181.37,低
24191,45,男,22,4,53.46,0,1.84,0,0,未购买
24192,51,男,14,8,51.76,0,2.42,0,0,未购买
24193,23,男,24,10,58.57,1,3.36,1,716.17,高
24194,41,女,21,11,29.6,1,4.72,1,321.89,中
24195,31,男,28,6,71.58,0,1.81,0,0,未购买
24196,20,男,19,5,56.46,1,3.43,1,284.82,中
24197,36,男,18,9,30.61,0,1.69,0,0,未购买
24198,27,女,18,8,54.23,0,1.44,0,0,未购买
24199,19,男,26,3,21.75,0,2.19,0,0,未购买
24200,27,男,24,7,27.61,0,2.54,1,208.06,低
24201,25,女,25,2,47.52,0,6.03,0,0,未购买
24202,29,男,17,7,53.83,0,5.48,0,0,未购买
24203,22,女,24,4,59.43,0,8.96,0,0,未购买
24204,31,女,16,6,52.62,0,4.21,0,0,未购买
24205,28,男,19,10,76.12,0,0.9,0,0,未购买
24206,39,女,19,4,53.15,1,4.2,0,0,未购买
24207,,男,11,5,41.65,0,2.72,0,0,未购买
24208,38,男,23,10,24.41,0,1.09,0,0,未购买
24209,33,男,18,6,49,1,1.77,0,0,未购买
24210,32,女,16,5,50.39,0,2.95,0,0,未购买
24211,27,女,18,7,28.93,1,2.7,0,0,未购买
24212,27,女,13,9,39.82,0,2.24,0,0,未购买
24213,42,男,16,9,57.44,1,3.89,0,0,未购买
24214,18,男,18,7,50.3,0,2.84,0,0,未购买
24215,34,女,14,8,54.13,0,3.84,0,0,未购买
24216,32,女,11,6,67.25,0,2.4,0,0,未购买
24217,41,男,22,9,47.71,1,1.94,1,434.56,中
24218,21,男,22,2,55.92,0,2.89,0,0,未购买
24219,35,男,18,10,81.86,0,1.76,1,737.49,高
24220,38,女,18,9,44.44,0,2.45,1,368.49,中
24221,18,男,17,10,52.66,0,2.74,1,537.43,高
24222,24,女,14,9,58.41,1,4.13,0,0,未购买
24223,34,女,16,6,44,0,4.62,0,0,未购买
24224,40,男,26,12,30.05,0,5.28,0,0,未购买
24225,37,男,21,8,68.97,0,3.01,0,0,未购买
24226,41,男,17,9,80.08,1,0.74,0,0,未购买
24227,24,男,19,5,52.45,1,1.13,0,0,未购买
24228,19,女,20,8,69.24,1,2.53,0,0,未购买
24229,36,女,25,8,15,0,3.62,1,127.8,低
24230,23,女,11,9,44.04,1,2.78,1,433.59,中
24231,26,男,19,3,61.81,0,4.85,0,0,未购买
24232,44,女,14,11,75.33,0,2.39,1,884.37,高
24233,37,男,19,5,42.57,0,2.43,0,0,未购买
24234,29,女,18,10,67.8,0,2.25,0,0,未购买
24235,28,女,26,4,63.81,1,2.31,0,0,未购买
24236,41,男,17,8,72.33,0,1.26,0,0,未购买
24237,37,男,17,7,53.02,1,1.78,1,386.5,中
24238,23,女,12,3,72.56,1,1.42,1,212.97,低
24239,,男,21,3,61,0,1.37,0,0,未购买
24240,54,男,18,11,46.1,0,3.79,1,448.33,高
24241,23,女,15,11,47.96,1,2.79,0,0,未购买
24242,40,女,16,6,49.12,0,4.65,1,281.38,低
24243,50,男,19,6,47.99,0,2.52,0,0,未购买
24244,36,男,21,10,66.22,1,4.21,0,0,未购买
24245,29,女,15,8,36.31,1,6.66,0,0,未购买
24246,21,男,21,10,57.37,1,1.59,1,547.63,高
24247,21,男,14,4,53.67,0,4.08,0,0,未购买
24248,39,男,21,10,52.2,0,1.6,0,0,未购买
24249,50,男,15,9,17.79,0,4.35,0,0,未购买
24250,31,男,16,6,58.39,0,2.62,1,361.07,中
24251,29,女,22,6,53.22,0,4.03,0,0,未购买
24252,42,女,16,4,25.3,0,6.08,0,0,未购买
24253,28,女,13,8,19.03,0,4.96,0,0,未购买
24254,38,女,19,12,50.33,0,4.69,0,0,未购买
24255,35,男,20,4,55.97,0,2.19,0,0,未购买
24256,31,女,19,8,65.09,1,2.96,1,508.13,高
24257,35,女,17,9,67.95,0,1.54,0,0,未购买
24258,53,女,14,8,37.89,1,2,1,319.3,中
24259,41,男,18,12,41.28,1,2.48,1,564.07,高
24260,46,女,23,6,40.3,1,3.17,1,260.45,低
24261,26,女,13,10,41.53,1,3.16,1,368.56,中
24262,46,女,16,8,38.63,0,1.58,1,293.95,中
24263,41,女,14,5,55.19,0,3.62,0,0,未购买
24264,20,女,11,14,53.5,0,5.33,0,0,未购买
24265,40,女,18,0,59.92,0,3.58,0,0,未购买
24266,30,女,14,7,65.51,1,3.17,1,487.12,高
24267,20,男,18,6,43.15,0,2.37,0,0,未购买
24268,36,男,20,7,41.04,1,1.26,1,276.55,低
24269,40,女,20,9,72.08,0,1.57,1,596.14,高
24270,37,女,17,6,62.6,1,5.68,0,0,未购买
24271,34,女,21,4,48.56,1,2.13,1,238.47,低
24272,32,男,11,12,25.09,0,1.7,0,0,未购买
24273,60,女,23,8,35.93,0,2.37,0,0,未购买
24274,23,女,14,7,69.36,0,3.88,1,433.71,中
24275,44,女,12,3,32.72,0,4.45,0,0,未购买
24276,35,男,18,3,50.5,0,2.78,0,0,未购买
24277,26,男,18,4,60.48,1,2.71,0,0,未购买
24278,35,男,18,8,39.79,0,6.6,0,0,未购买
24279,21,男,10,5,33.69,1,2.66,1,138.26,低
24280,29,男,17,8,67.31,0,2.68,0,0,未购买
24281,35,女,22,6,35.48,0,4.68,0,0,未购买
24282,19,女,13,5,32.96,1,3.61,0,0,未购买
24283,40,女,23,5,67.62,1,4.93,0,0,未购买
24284,,男,22,5,45.21,0,1.66,0,0,未购买
24285,20,男,14,2,42.68,1,5.27,1,87.99,低
24286,24,男,18,7,43.5,1,2.61,0,0,未购买
24287,57,女,14,9,84.32,0,2.28,0,0,未购买
24288,18,男,19,6,33.99,0,6.78,0,0,未购买
24289,39,男,19,11,23.79,1,4.24,0,0,未购买
24290,27,男,15,4,35.56,1,2.77,0,0,未购买
24291,31,男,22,3,65.89,0,3.03,0,0,未购买
24292,41,男,10,5,55.4,0,4.11,1,309.24,中
24293,41,男,19,7,54.92,1,1.18,0,0,未购买
24294,28,男,26,11,57.04,0,4.55,0,0,未购买
24295,21,男,21,7,30.61,0,10,0,0,未购买
24296,41,男,16,12,70.57,0,1.08,0,0,未购买
24297,41,男,12,6,72.15,1,2.52,0,0,未购买
24298,32,男,10,4,38.73,0,1.82,0,0,未购买
24299,39,男,9,4,61.54,0,1.34,1,260.86,低
24300,31,男,16,9,50.4,0,2.91,0,0,未购买
24301,27,女,20,11,41.5,0,4.28,0,0,未购买
24302,,女,10,5,51.87,0,2.11,0,0,未购买
24303,40,女,27,5,43.54,0,3.76,1,193.44,低
24304,38,男,13,9,96.06,1,4.68,1,794.56,高
24305,40,女,16,6,24.49,1,2.02,1,144.78,低
24306,27,男,19,10,67.14,0,2.22,0,0,未购买
24307,51,女,13,9,43.62,0,4.08,0,0,未购买
24308,32,女,21,5,36.39,0,3.92,1,188.38,低
24309,34,女,19,6,79.84,0,4.4,0,0,未购买
24310,22,男,14,7,51.34,0,5.46,0,0,未购买
24311,33,女,19,10,49.15,0,3.35,0,0,未购买
24312,40,女,18,4,40.36,1,4.11,0,0,未购买
24313,43,男,22,8,58.05,0,1.18,0,0,未购买
24314,51,男,21,7,42.47,1,4.17,0,0,未购买
24315,40,男,15,9,46.84,0,2.04,0,0,未购买
24316,38,男,13,9,22.21,1,1.95,0,0,未购买
24317,31,女,17,3,64.27,0,3.02,0,0,未购买
24318,28,男,12,12,68.76,0,1.53,0,0,未购买
24319,45,女,12,7,62.44,0,2.11,0,0,未购买
24320,45,女,17,8,18.89,1,8.01,0,0,未购买
24321,24,女,19,9,54.06,1,2.61,1,459.91,高
24322,42,女,14,8,47.6,1,3.5,1,363.85,中
24323,42,女,21,9,64.38,1,1.06,0,0,未购买
24324,24,男,15,8,42.34,1,3.25,0,0,未购买
24325,40,女,26,6,46.45,1,4.94,0,0,未购买
24326,25,女,22,8,84.98,0,2.07,0,0,未购买
24327,18,男,18,6,60.23,1,2.02,0,0,未购买
24328,33,男,16,6,73.67,0,2.76,1,419.05,中
24329,38,男,14,6,64.03,0,1.75,0,0,未购买
24330,34,女,19,6,41.58,0,4.7,0,0,未购买
24331,64,女,24,6,60.55,0,3.02,1,339.16,中
24332,39,男,15,10,33.99,1,5.76,1,319.41,中
24333,36,女,10,10,64.58,0,3.63,0,0,未购买
24334,,女,19,5,44.23,1,3.04,1,229.22,低
24335,31,女,18,8,65.24,1,1.78,0,0,未购买
24336,44,男,13,3,61.51,1,2.04,0,0,未购买
24337,,男,24,6,89.05,0,1.08,0,0,未购买
24338,38,女,18,3,54.53,1,2.63,1,138.4,低
24339,29,女,17,7,48.4,0,1.38,1,378,中
24340,19,女,25,1,44.85,1,1.5,0,0,未购买
24341,30,男,18,10,39.72,0,5.68,0,0,未购买
24342,38,女,13,4,45.56,1,2.44,1,175.5,低
24343,31,男,15,10,46,0,,0,0,未购买
24344,38,女,20,5,56.24,1,5.06,1,277.91,低
24345,33,男,17,9,39.75,1,1.72,1,343.28,中
24346,39,女,16,6,25.16,1,3.38,1,97.02,低
24347,25,女,17,10,60.72,0,3,0,0,未购买
24348,37,男,17,7,61.76,0,2.66,0,0,未购买
24349,29,男,15,6,37.6,1,3.26,0,0,未购买
24350,20,男,11,9,41.16,0,1.36,0,0,未购买
24351,33,女,18,8,48.91,0,2.59,0,0,未购买
24352,50,男,19,3,39.57,1,5.52,1,124.72,低
24353,20,男,17,8,26.72,0,3.28,0,0,未购买
24354,36,女,10,12,61.96,1,3.07,0,0,未购买
24355,43,男,13,9,40.61,1,1.86,0,0,未购买
24356,58,男,12,10,64.29,1,3.07,0,0,未购买
24357,30,女,18,6,62.29,0,3.89,0,0,未购买
24358,29,男,12,5,60.24,0,2.06,0,0,未购买
24359,23,男,22,2,60.91,0,1.56,1,126.28,低
24360,46,男,20,8,59.98,1,5.76,1,473.29,高
24361,26,男,18,9,35.99,0,4.32,1,277.18,低
24362,31,男,17,4,44.07,0,3.71,0,0,未购买
24363,18,男,18,11,59.37,1,2.11,1,706.19,高
24364,44,女,16,7,50.93,1,2.43,0,0,未购买
24365,47,男,12,11,57.8,0,3.75,1,580.7,高
24366,43,女,20,10,55.14,0,3.43,0,0,未购买
24367,19,男,9,7,31.94,1,5.74,0,0,未购买
24368,41,男,13,7,30.43,1,1.22,1,203.25,低
24369,18,女,20,10,45.49,,3.82,0,0,未购买
24370,36,女,12,11,86.5,0,2.22,0,0,未购买
24371,37,男,16,4,47.62,0,1.62,0,0,未购买
24372,38,男,16,5,46.72,0,4.64,0,0,未购买
24373,40,男,17,1,15,0,1.9,0,0,未购买
24374,35,女,10,6,56.47,0,2.3,0,0,未购买
24375,18,男,18,9,44.3,0,7.12,0,0,未购买
24376,40,女,16,7,69.86,0,2.84,0,0,未购买
24377,36,男,15,5,45.12,1,3.99,0,0,未购买
24378,26,男,18,10,18.91,1,2.18,0,0,未购买
24379,19,女,13,4,43.59,0,2.34,0,0,未购买
24380,50,男,17,7,33.7,0,1.83,1,277.59,低
24381,47,女,20,5,49.51,1,1.91,0,0,未购买
24382,42,男,13,7,42.64,0,7.47,0,0,未购买
24383,28,女,20,13,69.45,0,4.16,0,0,未购买
24384,18,男,19,4,37.25,0,3.44,0,0,未购买
24385,43,男,13,11,39.61,0,4.62,0,0,未购买
24386,39,女,15,9,80.83,0,2.4,1,829.28,高
24387,31,女,18,10,36.57,0,1.7,0,0,未购买
24388,46,男,17,5,52.57,0,9.44,0,0,未购买
24389,43,女,22,13,43.15,0,3.62,1,582.98,高
24390,37,男,21,8,55.46,1,5.8,0,0,未购买
24391,35,男,20,8,57.41,1,5.67,1,515.96,高
24392,36,男,22,7,40.44,1,3.32,1,236.22,低
24393,42,男,11,5,29.09,1,2.78,1,158.56,低
24394,26,男,20,10,37.79,0,3.57,0,0,未购买
24395,39,男,18,5,65.87,0,5.07,0,0,未购买
24396,26,女,24,8,37.03,0,5.5,0,0,未购买
24397,48,女,21,8,47.17,1,6.86,0,0,未购买
24398,40,男,19,4,64.48,1,3.85,1,283.85,低
24399,28,女,18,6,30.15,0,1.79,1,182.53,低
24400,36,男,17,10,30.87,1,2.55,0,0,未购买
24401,26,男,24,9,82.04,0,2.26,0,0,未购买
24402,50,女,14,4,45.74,0,1.55,0,0,未购买
24403,51,女,19,6,40.11,0,4.59,0,0,未购买
24404,42,男,20,11,36.17,1,4.09,1,389.72,中
24405,51,女,17,5,66.26,1,2.17,1,299.2,中
